"01","Inner London",2359319,136477,125518,155619,34903,153592,231389,204478,177991,135388,129249,125548,133636,139796,124152,119771,100328,69772,39075,22637
"02","Outer London",4133323,244759,250606,301772,65392,263832,318931,301514,323575,262440,240135,234205,243199,251749,220300,209519,176763,121496,65785,37351
"03","Greater Manchester",2552650,158555,174941,213848,44136,174546,192856,172614,191261,157531,145681,137662,142653,152966,131554,126054,106459,72160,38142,19031
"04","Merseyside",1485283,90405,100429,124359,26780,111580,117843,98138,101696,83480,83059,84622,88771,88277,76471,73172,60613,41744,21998,11846
"05","South Yorkshire",1282018,74248,86077,108086,22036,86106,95628,85502,93329,80774,74137,71241,74185,79075,70145,64349,52817,35966,18976,9341
"06","Tyne & Wear",1126109,66620,72506,88313,19169,77291,88458,76887,80471,63550,63428,64815,69746,72485,62737,55487,46154,32354,17148,8490
"07","West Midlands",2604414,161732,178847,223965,45908,181958,198084,172793,179305,160052,150002,147181,156343,160293,141803,126045,99298,67689,35096,18020
"08","West Yorkshire",2000305,127313,140718,167295,33920,132584,147979,135321,150449,121122,113694,109571,113105,119002,101942,98010,82481,58038,31876,15885
"09","Avon",887027,51567,56799,69191,15198,57703,64447,60449,67175,57700,51097,49315,51143,53641,47358,44750,38146,27336,15166,8846
"10","Bedfordshire",497154,36135,36380,42142,8640,33868,37546,37512,41420,34321,30356,28501,27174,26235,21343,19728,16050,10715,5902,3186
"11","Berkshire",660721,43884,46867,54662,11336,44277,50048,49166,54999,46089,40944,38586,37869,36297,29473,26704,21810,14761,8060,4889
"12","Buckinghamshire",554121,38711,42318,47562,10024,36987,37867,38156,47157,41144,35587,32823,30693,29302,23501,21574,17727,12395,6586,4007
"13","Cambridgeshire",561025,37386,40918,44919,9235,35333,40020,40626,46540,38966,32985,30763,30877,30558,26314,25524,21973,15160,8223,4705
"14","Cheshire",910970,56383,65440,78851,16674,63229,62460,59022,71444,62446,56777,52056,53381,52220,44739,41116,33569,22611,12079,6473
"15","Cleveland",562257,38237,40921,49584,10639,41651,45258,39937,42196,33648,32864,31970,32918,32800,26494,22662,18145,12482,6534,3317
"16","Cornwall & Isles of Scilly",408636,23193,26610,31361,6553,23426,23671,23634,29926,27192,23125,22596,23679,25181,24157,25330,21758,14879,8079,4286
"17","Cumbria",464264,26272,30692,37133,7621,29955,31695,28949,34187,28905,27237,26144,28042,28716,26842,24776,20931,14461,7644,4062
"18","Derbyshire",893561,53075,60551,72208,15035,57155,61819,58786,68199,60029,52004,50327,52538,55434,48393,44481,37351,25586,13627,6963
"19","Devon",902974,49143,56291,67815,14259,54150,58047,54022,62810,56120,49268,48090,50805,54611,53033,56191,50874,36993,19555,10897
"20","Dorset",564396,28343,32592,39407,8466,32479,34742,32075,37920,33937,29997,30074,32185,35104,34778,39280,35824,25464,13875,7854
"21","Durham",592741,35918,39570,48102,10181,39142,42635,39769,44621,37293,35023,34195,35712,37160,31563,28857,24343,16404,8205,4048
"22","East Sussex",622665,30207,33680,41320,8846,34613,37200,35106,42091,36038,32102,31380,33696,37434,38449,44553,43351,33006,18839,10754
"23","Essex",1444300,91030,102343,117396,24286,91769,98708,96242,118749,98633,84732,80814,83080,83460,72446,68895,57445,39823,22086,12363
"24","Gloucestershire",486561,28457,32388,39581,8487,31974,32870,31048,36604,32617,28566,26884,28003,29795,25788,25140,21176,14452,8230,4501
"25","Hampshire",1409624,88475,98672,115609,24415,93546,102016,96130,111771,96885,83820,78597,78414,77818,69332,65193,55757,39176,21568,12430
