"01","Inner London",1264501,912390,23301,15198,9157,51297,10980,139903,11451,16163,57252,18767,6061,9141,18886,2182,5733,25438,28159,42945
"02","Outer London",2161535,1773779,31046,27263,11394,56491,9624,152294,31951,9016,31436,50009,1590,9524,13812,4956,10394,29607,23975,35668
"03","Greater Manchester",1323397,1216826,16865,9992,8386,23223,2152,20862,3180,982,4662,7125,1256,2292,1143,222,7451,6280,5156,6204
"04","Merseyside",779763,736506,7801,10063,4609,8615,1273,4308,341,500,453,992,92,1332,488,110,190,2583,1084,2731
"05","South Yorkshire",658948,631135,7420,3300,1479,2561,682,4768,373,244,1599,1063,146,803,450,90,2240,2577,1000,1786
"06","Tyne & Wear",584841,563076,8748,1521,1373,1388,759,3217,266,227,121,1122,152,971,298,60,609,2072,638,1440
"07","West Midlands",1334019,1171788,14724,17614,8520,29342,1741,62001,6427,877,18359,30657,2020,1924,1358,379,14172,5592,3395,5130
"08","West Yorkshire",1039031,959067,13950,4606,4473,9147,1489,18483,2141,588,4176,8307,756,1549,757,209,13279,5746,4426,4365
"09","Avon",464177,422038,5074,15807,1769,3503,1427,6650,643,456,2337,1266,68,948,784,148,643,3243,1382,2641
"10","Bedfordshire",251216,216082,5312,3448,1511,5443,627,9410,1328,320,2610,3054,675,731,476,216,1727,3814,1328,2514
"11","Berkshire",337128,290543,6552,7159,2041,4837,1499,11160,1707,503,2363,4485,59,1103,604,336,2224,4525,2972,3616
"12","Buckinghamshire",283785,249139,6474,5253,1775,3648,1357,5772,761,398,1706,1292,88,780,559,188,1599,3594,1937,3237
"13","Cambridgeshire",287763,260121,5047,2598,1571,2001,1073,4650,975,290,626,1129,45,730,701,154,880,4073,1391,4358
"14","Cheshire",470163,436943,6598,11015,2523,3962,964,2641,337,231,270,702,48,594,354,105,177,2438,1061,1841
"15","Cleveland",287208,274192,4717,1215,946,907,419,1678,228,101,73,606,46,358,207,59,908,1179,342,705
"16","Cornwall & Isles of Scilly",216956,203908,2571,3187,821,903,751,1852,208,147,159,417,5,470,346,100,52,1130,399,1382
"17","Cumbria",242011,227725,7670,1208,1173,770,505,948,136,77,80,232,5,237,143,38,32,884,352,744
"18","Derbyshire",457832,434412,4872,2848,1491,2831,639,5353,378,198,1171,2615,21,559,328,83,1032,2135,1059,1160
"19","Devon",484995,452473,5983,7710,1926,2488,1653,5355,555,436,310,1195,40,1300,1301,218,191,2995,1352,2869
"20","Dorset",305028,276688,5132,7500,1834,2294,1302,3256,368,226,259,974,29,719,522,159,118,3069,1463,2372
"21","Durham",305804,296044,3850,915,722,519,366,1275,137,77,75,345,26,390,182,43,41,1173,264,635
"22","East Sussex",346316,313896,5277,4448,1736,3780,1634,5193,640,451,448,1656,61,1065,608,264,213,4034,2205,3900
"23","Essex",748097,695649,10083,7272,3025,7082,2064,8954,1090,748,1097,2486,106,1976,1091,360,453,6537,2652,4326
"24","Gloucestershire",253109,227103,3491,9916,1261,2024,818,3461,406,215,765,962,24,572,419,98,106,2162,964,1803
"25","Hampshire",731320,659467,15480,11351,4976,6343,2913,13608,1348,885,1213,3535,206,2885,2865,671,583,7765,2659,6175
"26","Hereford and Worcester",317874,290753,3570,11999,1262,2430,748,2507,301,206,483,619,78,465,281,74,372,2116,895,1222
"27","Hertfordshire",482170,429382,9370,7496,2535,8190,1814,9279,1307,641,1687,2681,228,1466,869,400,961,6023,3094,4026
"28","Humberside",430318,412360,5742,2182,1279,1262,613,2532,222,201,109,648,164,691,426,71,87,2426,730,1105
"29","Isle of Wight",60546,56475,842,830,248,428,234,550,44,35,45,171,15,112,103,25,18,451,178,292
"30","Kent",746292,686192,11081,8695,3348,6363,2736,12655,1545,860,942,5085,123,1949,1679,472,537,7321,2566,4798
"31","Lancashire",706574,654595,13403,5239,5118,6200,1363,8831,1688,317,526,4555,296,789,554,106,4640,3297,1651,2237
"32","Leicestershire",424208,375864,6010,3918,1746,3786,848,24502,10288,382,1550,10483,241,700,581,277,515,2895,1942,2182
