"01",Inner London
"02",Outer London
"03",Greater Manchester
"04",Merseyside
"05",South Yorkshire
"06",Tyne & Wear
"07",West Midlands
"08",West Yorkshire
"09",Avon
"10",Bedfordshire
"11",Berkshire
"12",Buckinghamshire
"13",Cambridgeshire
"14",Cheshire
"15",Cleveland
"16",Cornwall & Isles of Scilly
"17",Cumbria
"18",Derbyshire
"19",Devon
"20",Dorset
"21",Durham
"22",East Sussex
"23",Essex
"24",Gloucestershire
"25",Hampshire
"26",Hereford and Worcester
"27",Hertfordshire
"28",Humberside
"29",Isle of Wight
"30",Kent
"31",Lancashire
"32",Leicestershire
"33",Lincolnshire
"34",Norfolk
"35",Northamptonshire
"36",Northumberland
"37",North Yorkshire
"38",Nottinghamshire
"39",Oxford
"40",Shropshire
"41",Somerset
"42",Staffordshire
"43",Suffolk
"44",Surrey
"45",Warwickshire
"46",West Sussex
"47",Wiltshire
