Zone ID,Zone name,s020001,s020008,s020015,s020022,s020029,s020036,s020043,s020050,s020057,s020064,s020071,s020078,s020085,s020092,s020099,s020106,s020113,s020120,s020127,s020134,s020141,s020148
01,Inner London,2504451,177987,149178,128732,23957,49609,57957,242196,306981,234538,171087,155259,126697,121179,113124,110218,102027,81955,71303,47710,23456,9301
02,Outer London,4175248,283723,254606,240116,45748,97118,108293,338200,385932,335245,287306,300598,245850,220529,206732,197101,185267,152533,134700,92610,45485,17556
03,Greater Manchester,2499441,179368,169086,154468,30278,63783,70837,193811,200974,179134,160417,178948,148254,135605,125117,123288,122646,96725,79944,52848,24716,9194
04,Merseyside,1403642,97290,94552,87583,17378,36294,39911,102459,106336,98992,89299,95194,78783,77143,77209,77464,71913,57138,47129,30656,15024,5895
05,South Yorkshire,1262630,83635,78269,72939,14581,31211,35999,98879,99535,90682,81507,89280,77357,70175,66103,65685,66186,53781,42340,27079,12799,4608
06,Tyne and Wear,1095152,71642,69781,65737,12866,26629,29813,80728,85421,80847,72420,76405,60527,59872,59998,61976,59893,46965,35270,23027,11106,4229
07,West Midlands,2551671,183028,172535,158455,31070,66107,73791,204954,202490,177751,159077,167448,150584,138802,133250,134737,128205,104542,81274,50859,24084,8628
08,West Yorkshire,2013693,142293,134123,126171,25106,52022,58079,156557,157642,145445,132811,145958,117024,107561,101438,100368,98360,77294,64152,42437,20940,7912
09,Avon,932674,59984,55604,53176,10557,22569,25057,71000,75814,67661,62032,68417,58706,50372,47500,47469,47120,39115,32325,22007,11449,4740
10,Bedfordshire,524105,38806,35921,34376,6500,13623,14654,40826,46508,41902,36535,39014,32342,28291,25754,23318,20862,16277,13549,8972,4382,1693
11,Berkshire,734246,51134,47593,45559,8792,18901,20695,59106,65715,60025,53603,57394,46821,39549,35586,32389,28720,22675,18832,12437,6238,2482
12,Buckinghamshire,632487,43435,42641,42936,8393,17708,18560,46507,49487,48041,47388,52550,43090,35108,30843,27498,24733,19073,16094,10887,5430,2085
13,Cambridgeshire,645125,43386,41495,40530,7855,16774,18402,49104,53147,49014,45843,50150,40775,33760,30975,30299,28993,23367,19378,12992,6469,2417
14,Cheshire,956616,63269,61496,59538,12101,25212,27775,67124,71647,68252,65033,75070,63100,55859,50113,49396,45596,36214,28709,18824,8805,3483
15,Cleveland,550293,39835,39623,36864,7208,14644,15717,39621,42724,40903,36968,39197,31491,30422,29195,29237,27115,19940,14607,9018,4364,1600
