01,Inner London,1309609,942622,894044,24371,13890,9291,50521,17016,167516,12630,26773,48644,22383,18969,6988,10089,11950,9090,42331,15727,1929,71947
02,Outer London,2164494,1770151,1702616,30976,23574,11731,65344,12497,205218,39869,12824,33989,4637,60017,14315,11778,12724,15065,36997,17400,1813,55074
03,Greater Manchester,1291040,1216899,1186122,14989,8097,6694,19714,2030,33541,2889,1008,4016,3394,7436,10690,2608,533,967,7298,3878,664,7016
04,Merseyside,737276,718128,699340,6935,7947,3209,6663,1185,4354,339,428,427,187,916,194,1270,199,394,2980,664,609,2693
05,South Yorkshire,648499,631029,619195,7067,3187,1356,2391,733,8155,384,217,1362,325,1157,3042,1014,235,419,2951,783,207,2250
06,Tyne and Wear,569914,557538,546141,8531,1439,1325,1278,747,5162,287,209,119,831,1300,781,1199,122,314,2559,537,200,1893
07,West Midlands,1309521,1184220,1149130,12972,14584,7150,25510,1585,83060,5935,713,15593,5216,30940,20656,2291,736,980,6196,2598,465,5887
08,West Yorkshire,1040501,978086,957099,12516,4249,3724,7726,1626,37857,2015,516,3603,1760,8253,18712,1852,373,773,6558,3462,312,4874
09,Avon,480580,458139,434165,5877,16052,1714,3849,1673,8080,896,422,2129,236,1317,739,1264,381,696,4180,1108,200,3351
10,Bedfordshire,264245,235955,225750,5322,3219,1520,6202,725,13411,1421,309,2338,1799,3185,2843,691,215,610,3908,1026,96,2922
11,Berkshire,370540,332903,315581,7782,7217,2015,5614,1857,16172,2116,626,2154,180,5020,3407,1405,260,1004,6100,2093,193,5608
12,Buckinghamshire,320825,294128,279015,7680,5370,1831,4173,1581,10146,1232,537,1776,254,1730,2513,1066,273,765,4490,1630,110,4567
13,Cambridgeshire,327636,303373,291282,6706,3354,1830,2500,1428,7168,1108,349,684,187,1356,1424,1011,345,704,5352,1276,245,6294
14,Cheshire,490360,476092,456195,7033,10264,2204,3634,1058,3213,384,198,290,126,736,218,723,159,379,3088,888,116,2271
15,Cleveland,283919,277545,271175,4327,1089,897,808,412,2615,190,68,58,84,520,1067,320,98,210,1381,263,76,819
16,Cornwall and Isles Of Scilly,243624,236170,228805,2897,3553,715,1007,842,2049,236,155,161,15,450,49,463,108,412,1648,334,54,1520
17,Cumbria,248322,243480,232118,8580,1435,1188,733,612,1160,145,97,80,36,227,47,296,74,158,1170,284,42,841
18,Derbyshire,473478,458208,449719,4432,2626,1264,2568,692,6906,450,180,1030,57,2655,1421,636,164,313,2597,926,100,1481
19,Devon,526271,506992,487971,7526,9161,1820,2627,1859,6025,681,405,371,65,1156,190,1481,293,1383,4291,1161,154,3162
20,Dorset,337577,321374,306125,5838,7402,1482,2434,1429,3938,504,333,269,75,965,147,843,166,636,4410,1122,131,2739
21,Durham,305542,300532,294788,4066,887,716,534,389,1511,150,73,74,70,402,58,396,98,190,1504,211,62,799
22,East Sussex,367743,344133,332444,5486,4303,1604,3754,1783,6055,808,450,494,215,1626,228,1186,267,781,5346,1814,225,4633
23,Essex,784858,750791,732473,9165,6223,2552,6847,2074,10518,1339,602,1175,306,2570,538,2050,528,1410,7682,1874,275,4797
24,Gloucestershire,271881,258860,244078,3803,9579,1219,1992,1015,4032,498,167,734,93,1052,131,706,224,427,2775,776,118,2313
25,Hampshire,786063,742742,710348,15885,11450,3937,5979,3156,15156,1583,749,1232,693,3481,653,3093,573,3099,9707,2067,405,6851
26,Hereford and Worcester,346101,334470,317862,3750,11461,1200,2388,850,3369,385,155,438,155,667,501,543,185,340,2624,766,97,1537
27,Hertfordshire,497186,459952,443521,8100,5969,2051,7721,2012,12802,2013,483,1651,656,2994,1394,1690,568,1353,7148,2197,186,5168
28,Humberside,440784,430965,421827,5716,2067,1233,1195,688,2989,252,172,129,265,691,150,737,203,390,2919,642,103,1283
29,Isle Of Wight,65296,62920,60901,895,850,219,425,232,628,68,47,35,11,183,20,112,22,130,608,131,20,332
30,Kent,777878,737924,716599,10257,7584,3010,6225,2833,14127,1720,724,1057,337,5059,555,2127,574,1974,8992,2031,270,5476
