01,Inner London,1194842,864300,814714,26367,12252,9960,44217,13433,158833,13113,23505,39874,24326,18216,8098,9628,11790,10283,32384,11160,1733,68782
02,Outer London,2010754,1654839,1590284,31403,20816,11261,54145,10374,200066,42729,11898,28238,5311,54417,15340,10620,14220,17293,25147,11907,1521,52755
03,Greater Manchester,1208401,1133637,1103610,15095,7566,6511,18125,1842,36044,3301,1413,4472,3626,7510,11211,2841,601,1069,5349,3555,701,9148
04,Merseyside,666366,648169,631965,6642,6378,2606,4785,1005,5622,388,633,742,264,1086,271,1520,266,452,2262,811,609,3103
05,South Yorkshire,614131,594811,583295,6921,3018,1390,2699,644,8812,400,259,1579,394,1272,3263,1014,235,396,2203,1792,228,2942
06,Tyne and Wear,525238,512294,501185,8266,1457,1277,1273,612,5840,344,290,165,974,1358,865,1400,128,316,2000,621,176,2422
07,West Midlands,1242150,1115764,1081406,13058,13530,7353,25416,1465,84283,6423,907,15960,5492,29883,21387,2452,851,928,4411,3323,441,7047
08,West Yorkshire,973192,910693,890383,12272,3986,3579,7164,1466,39279,2176,739,4029,1826,8275,19196,1851,401,786,4331,3852,288,6119
09,Avon,452094,431952,410754,6022,13181,1696,3380,1434,7873,876,488,1950,271,1269,776,1183,412,648,2956,1134,186,3179
10,Bedfordshire,259860,231279,220703,5670,3153,1635,5952,651,13843,1645,370,2298,1985,2974,3109,655,220,587,3326,1220,103,3486
11,Berkshire,363706,328173,310181,8599,6965,2147,5171,1630,16677,2337,705,2115,266,4921,3681,1301,328,1023,4522,1788,162,5583
12,Buckinghamshire,311662,287288,272597,7788,4997,1732,3366,1303,10285,1319,511,1739,321,1599,2768,1021,290,717,3531,1461,95,4333
13,Cambridgeshire,317489,293720,281574,6936,3363,1659,2325,1315,7252,1138,337,679,237,1334,1500,1039,370,618,4247,1276,231,7123
14,Cheshire,466256,453333,434215,7084,9554,2108,3069,901,3403,424,224,325,168,802,235,723,165,337,2379,823,118,2230
15,Cleveland,266374,259828,253495,4441,1016,820,908,355,2817,210,116,95,88,605,1126,287,96,194,1029,431,68,938
16,Cornwall and Isles Of Scilly,224801,218629,211784,2848,3177,658,733,680,1919,264,159,129,43,357,73,429,112,353,1185,278,33,1344
17,Cumbria,234841,230427,219401,8317,1422,1148,691,505,1118,161,94,67,79,231,51,240,73,122,916,347,36,801
18,Derbyshire,455158,439832,431142,4641,2618,1296,2569,594,7154,488,187,1125,73,2661,1537,599,168,316,1778,1434,86,1711
19,Devon,483679,468068,450007,7719,8185,1725,2052,1499,5244,634,412,298,163,900,182,1248,347,1060,2893,1014,100,2809
20,Dorset,307589,294799,281437,5747,5928,1254,1686,1105,3738,446,389,235,181,808,152,755,190,582,3107,727,82,2345
21,Durham,287888,283213,277251,4307,928,664,555,299,1482,132,90,86,82,371,68,354,90,209,1104,258,54,923
22,East Sussex,322704,304180,293711,5321,3573,1324,2516,1549,5624,798,451,334,367,1239,252,1110,355,718,3227,1137,176,4295
23,Essex,743719,714948,697579,9336,5420,2277,5054,1885,10755,1441,619,1073,493,2499,596,1906,675,1453,5185,1410,213,4269
24,Gloucestershire,256489,245015,231564,3889,8217,1176,1837,818,3885,548,176,717,134,988,130,576,241,375,1980,690,59,2205
25,Hampshire,755484,717854,684376,17159,11385,3882,5031,2680,14502,1767,768,1097,834,3119,705,2867,616,2729,7127,1418,298,6574
26,Hereford and Worcester,330646,320360,304752,3891,10467,1077,1944,746,3269,387,158,429,196,624,540,480,162,293,1961,885,69,1412
27,Hertfordshire,478643,446542,430464,8497,5337,1992,6103,1688,12843,2200,589,1571,762,2788,1490,1369,730,1344,5006,1484,161,4816
28,Humberside,417256,407336,398098,5917,2091,1106,1313,626,3182,314,205,155,310,724,192,726,200,356,2328,693,82,1696
29,Isle Of Wight,59281,57452,55528,800,839,199,288,182,583,48,50,49,20,143,20,105,31,117,377,120,8,271
30,Kent,730995,697616,676888,10638,6929,2747,4895,2321,14019,1837,724,930,559,4953,566,1902,696,1852,5952,1349,192,4651
31,Lancashire,666711,638221,614042,14524,4848,4319,4509,1230,15342,1373,314,585,729,4752,5957,855,219,558,3291,1559,93,2466
32,Leicestershire,424840,386228,375320,5699,3667,1351,2836,817,27800,10875,407,1331,639,11992,724,1006,312,514,2721,1471,147,2820
33,Lincolnshire,285171,276299,267672,5028,2381,1093,1525,520,2526,263,114,200,55,517,76,623,331,347,2344,579,42,1336
34,Norfolk,363038,350697,342211,4818,2499,998,1277,938,3398,425,293,214,101,670,136,757,355,447,2322,581,77,3748
35,Northamptonshire,283395,266859,250843,10831,3286,1762,3541,705,5984,1179,261,1264,445,1441,226,578,203,387,2207,891,54,3154
36,Northumberland,148014,145419,138724,5612,632,412,275,223,805,99,57,38,50,180,38,193,56,94,594,225,11,462
37,North Yorkshire,339550,328311,316357,7822,2601,1365,1225,821,2835,377,158,157,83,493,186,717,292,372,3215,566,82,2495
38,Nottinghamshire,485198,463988,451517,7127,3483,1696,3162,843,9653,810,313,2552,145,2022,1962,1115,311,423,2642,2035,132,2743
