Zone ID,Zone name,s080155,s080166,s080177,s080188,s080199,s080210,s080221,s080232,s080243,s080254,s080265,s080276,s080287,s080298
01,Inner London,1074169,575245,354039,100398,8984,31795,7984,72045,4805,498924,55955,37798,196391,208780
02,Outer London,1762449,926884,559275,245610,14115,35609,7562,64713,9108,835565,70788,45222,345212,374343
03,Greater Manchester,1030911,511902,272563,166312,10209,16420,5487,40911,5127,519009,36961,47016,241660,193372
04,Merseyside,592285,272041,130356,95303,4557,6268,6065,29492,2677,320244,23018,31657,132336,133233
05,South Yorkshire,526946,246594,115548,94976,4710,7048,4697,19615,2246,280352,16845,21209,111142,131156
06,Tyne and Wear,462285,214590,105486,77492,3415,4754,4492,18951,2122,247695,15191,21661,102777,108066
07,West Midlands,1043667,505628,266882,165813,7084,13160,7997,44692,4799,538039,37031,34495,231484,235029
08,West Yorkshire,831761,420242,214623,150835,8611,13466,5395,27312,4492,411519,29476,27430,189642,164971
09,Avon,393239,203906,103147,74871,4330,8100,2144,11314,2615,189333,13831,9341,81574,84587
10,Bedfordshire,207773,113540,64734,35892,1837,3957,720,6400,1437,94233,7568,4774,34861,47030
11,Berkshire,296006,167973,96637,53431,2717,6798,760,7630,2243,128033,12004,5358,48432,62239
12,Buckinghamshire,253797,141529,78249,46134,2928,6489,709,7020,1951,112268,10721,4692,40025,56830
13,Cambridgeshire,262568,139981,74848,48124,3029,5862,939,7179,1921,122587,10356,5887,47254,59090
14,Cheshire,394606,198940,101021,71912,4973,7253,2435,11346,2591,195666,15861,13748,76799,89258
15,Cleveland,223370,103709,45560,42133,1809,2310,2655,9242,1044,119661,7441,10608,41065,60547
16,Cornwall and Isles Of Scilly,200072,86999,36067,32627,4172,6779,1447,5907,884,113073,7265,5682,44876,55250
17,Cumbria,203798,101013,46426,38693,3834,5269,1454,5337,1118,102785,6206,6211,43982,46386
18,Derbyshire,384921,192463,94205,73276,4473,7190,2069,11250,1884,192458,11968,10744,79683,90063
19,Devon,435263,198549,89161,74730,7885,12417,2459,11897,2389,236714,15317,11077,103880,106440
20,Dorset,283249,126678,60440,46798,4464,7418,933,6625,1631,156571,8514,6592,73432,68033
21,Durham,247867,116215,59479,40080,2539,3395,2567,8155,935,131652,7593,12934,48948,62177
22,East Sussex,309417,139047,68748,49100,4124,8006,1062,8007,2003,170370,9682,8670,84377,67641
23,Essex,636003,316654,167030,110962,6629,12010,2438,17585,3773,319349,19589,14650,130592,154518
24,Gloucestershire,221777,112751,56764,41533,2951,5307,910,5286,1381,109026,8228,4786,46381,49631
25,Hampshire,635355,331317,172556,119993,6813,13346,2472,16137,5138,304038,21156,13807,120442,148633
26,Hereford and Worcester,280392,145301,72218,53172,4209,6962,1411,7329,1893,135091,10085,6812,57900,60294
27,Hertfordshire,402333,217464,119733,73580,3827,8446,1164,10714,2854,184869,15292,8681,75658,85238
28,Humberside,354438,167159,73290,69728,4260,5251,2588,12042,1861,187279,13011,10124,72273,91871
29,Isle Of Wight,54511,23179,9681,9144,1018,1476,271,1589,266,31332,1676,1506,15150,13000
30,Kent,629738,308756,160257,107523,7273,13063,2466,18174,3759,320982,20285,14731,131929,154037
31,Lancashire,578560,285143,146053,97319,8765,13201,2789,17016,3554,293417,20203,25399,144319,103496
32,Leicestershire,353824,188642,100708,63703,4108,7292,1840,10991,2258,165182,14071,9135,73308,68668
33,Lincolnshire,244861,115986,55252,43358,3905,5235,1520,6716,1288,128875,7710,6781,53463,60921
34,Norfolk,315214,149296,70788,57200,4268,7027,1676,8337,1703,165918,9102,7682,72997,76137
35,Northamptonshire,234723,128492,69516,43569,2588,4649,984,7186,1873,106231,7877,5439,46025,46890
36,Northumberland,127323,62053,30351,22922,1750,2263,1236,3531,625,65270,4399,4807,25227,30837
37,North Yorkshire,298965,148558,68508,58488,5873,7966,1495,6228,2083,150407,11442,7382,64178,67405
38,Nottinghamshire,411882,205290,103710,73818,4276,6870,2590,14026,2272,206592,14377,12643,86081,93491
39,Oxfordshire,223810,123602,65372,43470,2708,5873,752,5427,1878,100208,9984,4165,38009,48050
40,Shropshire,167205,84117,41057,30692,2637,3916,1215,4600,974,83088,5989,4507,33066,39526
41,Somerset,194504,92683,41709,36030,3351,5559,1023,5011,1170,101821,6460,4362,44453,46546
42,Staffordshire,422464,218536,113496,77027,5071,7361,3173,12408,2393,203928,13860,14483,87432,88153
43,Suffolk,262683,129710,62554,51126,3304,5526,1183,6017,1653,132973,8046,5599,54528,64800
44,Surrey,429772,225930,123015,75952,5053,11493,1059,9358,3477,203842,17096,9093,78949,98704
45,Warwickshire,200324,105811,53921,37967,2692,4632,1149,5450,1461,94513,7733,5025,39200,42555
46,West Sussex,306912,148908,76287,54504,3605,6933,877,6702,2399,158004,9003,6355,75031,67615
47,Wiltshire,231032,124369,64557,44972,2845,5355,902,5738,1665,106663,7453,4865,43191,51154
