01,Inner London,2504451,1862217,177999,109024,49438,74000,29186,71016,28348,45358,57865,113989
02,Outer London,4175248,3471363,112969,54611,31175,273091,58630,14722,28231,67449,63007,142481
03,Greater Manchester,2499441,2351239,17095,5240,9202,29741,49370,11445,8323,4931,12855,51044
04,Merseyside,1403642,1377748,2157,2935,4283,2646,870,718,5607,1277,5401,17263
05,South Yorkshire,1262630,1226478,6014,1346,2560,3526,13246,1164,2157,1355,4784,7836
06,Tyne and Wear,1095152,1075276,459,866,832,4228,3723,2772,2817,1622,2557,5153
07,West Midlands,2551671,2178149,72183,4116,15716,141359,88268,18074,6107,8852,18847,65429
08,West Yorkshire,2013693,1849562,14795,2554,6552,34837,80540,5978,3852,4615,10408,22193
09,Avon,932674,906980,7147,1087,2725,3778,2847,770,2125,1339,3876,10639
10,Bedfordshire,524105,472166,9373,1148,2808,14065,12265,5882,1389,1782,3227,15309
11,Berkshire,734246,678191,7466,1867,2586,19081,14269,576,2122,3472,4616,14947
12,Buckinghamshire,632487,599227,6060,1073,1830,6013,9550,922,1623,2078,4111,11102
13,Cambridgeshire,645125,622246,2206,886,2203,4521,5412,614,1837,2131,3069,8314
14,Cheshire,956616,947229,718,429,827,1918,824,399,1614,820,1838,11015
15,Cleveland,550293,539649,256,332,410,1742,5182,265,721,488,1248,3433
16,Cornwall and Isles Of Scilly,468425,465889,229,167,438,223,32,71,407,198,771,3113
17,Cumbria,483163,481052,109,81,260,269,94,137,453,171,537,3760
18,Derbyshire,928636,901141,4057,464,1794,10537,5868,194,1320,1011,2250,7697
19,Devon,1009950,1003104,494,460,710,786,173,300,1161,682,2080,8224
20,Dorset,645166,639395,352,390,430,803,140,376,900,660,1720,6856
21,Durham,593430,589061,247,193,282,1107,216,278,694,680,672,2469
22,East Sussex,690447,677419,752,947,912,2170,409,877,1698,1690,3573,9198
23,Essex,1528577,1499540,2690,1491,1984,7181,1722,1224,4263,3114,5368,16730
24,Gloucestershire,528370,518636,2376,291,1071,2853,227,296,697,562,1361,6224
25,Hampshire,1541547,1511655,2642,1341,2337,7786,1586,2295,3598,3268,5039,18829
26,Hereford and Worcester,676747,668156,1360,318,656,1131,1897,547,775,542,1365,6609
27,Hertfordshire,975829,936360,4854,1370,2103,11554,4915,2207,3113,3641,5712,17867
28,Humberside,858040,849336,367,702,724,1739,631,991,1256,704,1590,4847
29,Isle Of Wight,124577,123667,135,44,99,117,18,37,103,110,247,1131
30,Kent,1508873,1474133,2216,1438,1869,15757,1464,1325,2762,3036,4873,16877
31,Lancashire,1383998,1322863,1684,732,1726,21249,25992,2317,1806,1887,3742,18689
32,Leicestershire,867521,771171,5033,1131,2364,72545,3020,1972,1955,3553,4777,8869
33,Lincolnshire,584536,580083,442,194,549,884,121,141,851,343,928,5326
34,Norfolk,745613,739042,397,431,935,946,246,213,933,700,1770,4819
35,Northamptonshire,578807,558491,4437,697,1992,6580,725,1408,1323,1104,2050,10897
36,Northumberland,304694,303147,51,37,92,393,136,101,287,174,276,1486
37,North Yorkshire,702161,697127,337,283,400,650,403,214,912,585,1250,5814
38,Nottinghamshire,993872,954503,10462,981,3969,8313,7673,446,2139,1231,4155,9700
39,Oxfordshire,547584,529420,2453,988,2064,2784,2854,679,1669,1579,3094,9085
40,Shropshire,406387,399714,719,174,461,2101,917,187,670,635,809,3827
41,Somerset,460368,457860,191,138,305,259,62,108,458,219,768,3583
42,Staffordshire,1031135,1012099,2247,472,1284,3493,6863,557,1309,819,1992,7807
43,Suffolk,636266,622321,2372,1047,4012,1025,153,794,959,919,2664,5309
44,Surrey,1018003,989217,1322,1260,1149,6716,3857,1153,3354,4964,5011,17158
45,Warwickshire,484247,467706,1573,225,702,10647,667,50,727,635,1315,7696
46,West Sussex,702290,688327,587,630,569,4464,1939,682,1297,1395,2400,8160
47,Wiltshire,564471,554984,1598,287,893,2213,444,387,939,873,1853,8636
