Zone ID,Zone name,s020001,s020002,s020003,s020004,s020005,s020006,s020007
01,Inner London,2504451,1194842,776461,418381,1309609,881563,428046
02,Outer London,4175248,2010754,1097523,913231,2164494,1239347,925147
03,Greater Manchester,2499441,1208401,661245,547156,1291040,736658,554382
04,Merseyside,1403642,666366,368346,298020,737276,432757,304519
05,South Yorkshire,1262630,614131,314660,299471,648499,346995,301504
06,Tyne and Wear,1095152,525238,278493,246745,569914,318804,251110
07,West Midlands,2551671,1242150,671340,570810,1309521,733040,576481
08,West Yorkshire,2013693,973192,513163,460029,1040501,576543,463958
09,Avon,932674,452094,233801,218293,480580,260536,220044
10,Bedfordshire,524105,259860,135963,123897,264245,139739,124506
11,Berkshire,734246,363706,191110,172596,370540,197534,173006
12,Buckinghamshire,632487,311662,159358,152304,320825,167875,152950
13,Cambridgeshire,645125,317489,160547,156942,327636,169834,157802
14,Cheshire,956616,466256,233871,232385,490360,256465,233895
15,Cleveland,550293,266374,141227,125147,283919,156610,127309
16,Cornwall and Isles Of Scilly,468425,224801,107597,117204,243624,125315,118309
17,Cumbria,483163,234841,116667,118174,248322,129548,118774
18,Derbyshire,928636,455158,225908,229250,473478,243200,230278
19,Devon,1009950,483679,237468,246211,526271,277743,248528
20,Dorset,645166,307589,147337,160252,337577,176184,161393
21,Durham,593430,287888,144392,143496,305542,160630,144912
22,East Sussex,690447,322704,164618,158086,367743,207282,160461
23,Essex,1528577,743719,369502,374217,784858,407097,377761
24,Gloucestershire,528370,256489,127876,128613,271881,142492,129389
25,Hampshire,1541547,755484,383822,371662,786063,412804,373259
26,Hereford and Worcester,676747,330646,163781,166865,346101,178247,167854
27,Hertfordshire,975829,478643,243520,235123,497186,260531,236655
28,Humberside,858040,417256,213897,203359,440784,235754,205030
29,Isle Of Wight,124577,59281,28713,30568,65296,34585,30711
30,Kent,1508873,730995,366810,364185,777878,411070,366808
31,Lancashire,1383998,666711,342871,323840,717287,390321,326966
32,Leicestershire,867521,424840,216142,208698,442681,232780,209901
33,Lincolnshire,584536,285171,136387,148784,299365,149701,149664
34,Norfolk,745613,363038,175440,187598,382575,194060,188515
35,Northamptonshire,578807,283395,143525,139870,295412,154256,141156
36,Northumberland,304694,148014,71694,76320,156680,79806,76874
37,North Yorkshire,702161,339550,165052,174498,362611,187040,175571
38,Nottinghamshire,993872,485198,250399,234799,508674,272064,236610
39,Oxfordshire,547584,270366,139723,130643,277218,145854,131364
40,Shropshire,406387,198915,100497,98418,207472,108574,98898
41,Somerset,460368,222945,108121,114824,237423,121765,115658
42,Staffordshire,1031135,507119,251460,255659,524016,267329,256687
43,Suffolk,636266,312004,152990,159014,324262,164665,159597
44,Surrey,1018003,495185,246406,248779,522818,272926,249892
45,Warwickshire,484247,237813,117797,120016,246434,125985,120449
46,West Sussex,702290,333123,161368,171755,369167,196158,173009
47,Wiltshire,564471,277814,138751,139063,286657,147032,139625
