01,Inner London,2210292,2156759,1024156,1132603,53533,24858,28675
02,Outer London,3942616,3896329,1877660,2018669,46287,17023,29264
03,Greater Manchester,2399087,2371797,1147567,1224230,27290,9272,18018
04,Merseyside,1345838,1324056,629143,694913,21782,7810,13972
05,South Yorkshire,1221745,1208540,588079,620461,13205,5033,8172
06,Tyne and Wear,1058114,1045774,500526,545248,12340,4525,7815
07,West Midlands,2452560,2425756,1181284,1244472,26804,10853,15951
08,West Yorkshire,1938146,1914993,926442,988551,23153,8251,14902
09,Avon,887639,871938,423089,448849,15701,6345,9356
10,Bedfordshire,501848,496338,245767,250571,5510,2424,3086
11,Berkshire,694927,684388,337369,347019,10539,5199,5340
12,Buckinghamshire,601028,592798,291001,301797,8230,3762,4468
13,Cambridgeshire,615155,605120,296404,308716,10035,5284,4751
14,Cheshire,918458,907740,442428,465312,10718,3740,6978
15,Cleveland,532279,526686,253926,272760,5593,2107,3486
16,Cornwall and Isles Of Scilly,445900,434938,208479,226459,10962,4416,6546
17,Cumbria,464702,456326,222123,234203,8376,3250,5126
18,Derbyshire,899860,889544,436835,452709,10316,3536,6780
19,Devon,960459,932904,445681,487223,27555,12147,15408
20,Dorset,614281,597576,284973,312603,16705,6841,9864
21,Durham,577188,568967,276157,292810,8221,3174,5047
22,East Sussex,652185,633033,296976,336057,19152,6634,12518
23,Essex,1468656,1449435,705424,744011,19221,7351,11870
24,Gloucestershire,505048,496816,241132,255684,8232,3304,4928
25,Hampshire,1471186,1441677,702282,739395,29509,15303,14206
26,Hereford and Worcester,652847,642827,314489,328338,10020,3910,6110
27,Hertfordshire,933277,920523,451668,468855,12754,4882,7872
28,Humberside,826662,815102,395673,419429,11560,4404,7156
29,Isle Of Wight,118939,114801,54340,60461,4138,2036,2102
30,Kent,1446031,1421053,688078,732975,24978,10291,14687
31,Lancashire,1330697,1301752,628211,673541,28945,11133,17812
32,Leicestershire,836384,825941,404267,421674,10443,4644,5799
33,Lincolnshire,561870,551940,268793,283147,9930,4250,5680
34,Norfolk,717060,704492,342495,361997,12568,5475,7093
35,Northamptonshire,557097,549990,269248,280742,7107,2789,4318
36,Northumberland,293773,287939,139339,148600,5834,2756,3078
37,North Yorkshire,669458,651276,313972,337304,18182,8598,9584
38,Nottinghamshire,957167,944515,461058,483457,12652,5275,7377
39,Oxfordshire,519338,508573,249716,258857,10765,5746,5019
40,Shropshire,391265,385161,188329,196832,6104,2815,3289
41,Somerset,440905,433018,209783,223235,7887,3072,4815
42,Staffordshire,1001091,989543,487121,502422,11548,4316,7232
43,Suffolk,610063,599218,292549,306669,10845,5585,5260
44,Surrey,961332,939533,455998,483535,21799,9230,12569
45,Warwickshire,465493,460456,226323,234133,5037,1801,3236
46,West Sussex,668002,652483,310259,342224,15519,5437,10082
47,Wiltshire,537998,527746,257970,269776,10252,5707,4545
