"09","Bedfordshire",381572,24182,15252,10339,26040,5064,9718,8708,20122,24339,91413,74996,17806,29177,18260,4231,1925
"11","Buckinghamshire",479026,30457,18594,12967,31916,6200,12363,10476,24931,29024,110563,98369,23489,37730,23067,5740,3140
"12","Cambridgeshire",552658,32179,20323,13886,34339,6576,13174,14621,37598,37341,126216,108622,25994,43025,28475,6867,3422
"13","Cheshire",673788,37963,24762,17707,43823,8520,16639,13973,32108,38735,151247,139510,36461,60452,38763,8713,4412
"15","Cornwall and Isles of Scilly",501267,26168,16652,12147,31571,6065,12398,10273,22410,25091,98538,109119,30107,51771,35824,8637,4496
"16","Cumbria",487607,25307,16975,12396,30978,6275,12056,10135,22404,26834,105654,101097,28166,47837,31076,6840,3577
"17","Derbyshire",734585,40701,27137,19302,47984,9138,18021,14692,33729,42509,166880,153301,38229,64623,44159,9560,4620
"18","Devon",704493,34676,23767,16842,43644,8525,16564,16473,35212,35284,138448,146951,40654,73626,52972,13640,7215
"19","Dorset",390980,18501,12837,9201,24570,4739,9515,7872,15144,17303,75554,81143,23155,45507,33720,8229,3990
"1B","Inner London",2766114,190110,100274,65116,154600,28714,60888,63468,241829,335249,757625,387078,97053,153350,97355,22382,11023
"1C","Outer London",4405977,288077,170611,115787,280802,54145,109458,100133,289175,356904,1083311,764291,185803,314717,213198,53321,26244
"20","Durham",493470,26235,17479,12757,31497,6450,12223,13391,28784,27573,109688,99077,26770,45049,28058,5685,2754
"21","East Sussex",492324,26511,17327,12155,31070,5837,11642,9935,20492,22610,97221,98114,27156,52853,41714,11325,6362
"22","Essex",1310835,77237,49324,34082,85179,15962,31963,27837,69620,78854,290043,265127,66768,115345,77023,17982,8489
"23","Gloucestershire",564559,32458,20649,14129,37149,7069,13659,12404,29121,32104,125607,113580,28613,49611,35827,8465,4114
"24","Hampshire",1240103,72178,46868,32557,82365,15620,31442,27909,62496,72690,282293,250809,61744,105816,69987,16728,8601
"26","Hertfordshire",1033977,64979,40737,27932,68232,12741,25238,21737,55160,68075,248799,196909,46991,83099,54391,12702,6255
"29","Kent",1329718,78234,51127,35933,89113,17236,34340,29707,69651,75974,287577,264103,68663,117815,81084,19284,9877
"2A","Greater Manchester",2482328,152877,96269,69571,174275,34201,65364,62770,158067,167143,557227,455556,119469,196286,130533,28971,13749
"2B","Merseyside",1362026,76748,50671,37445,97178,19246,38832,36311,81471,79585,295522,251479,70389,125649,76438,16970,8092
"2C","South Yorkshire",1266338,73632,47926,33726,83188,16032,30985,33176,79433,79016,282830,237276,64156,109180,72679,15767,7336
"2D","Tyne and Wear",1075938,59245,38375,27549,70395,14111,26969,29055,71306,67832,238398,198360,54523,98864,62485,12479,5992
"2E","West Midlands",2555592,166184,103979,72721,183331,35184,68655,70452,167607,168853,552115,443525,123082,213629,141865,30559,13851
"2F","West Yorkshire",2079211,129817,82232,57368,144720,28002,54326,56028,138893,138087,460892,379146,97003,165365,109740,25116,12476
"30","Lancashire",1134974,65300,42247,30863,78213,15389,30079,28818,63554,66436,244661,222284,58617,99985,65772,15012,7744
"31","Leicestershire",609578,34232,22158,15636,39735,7541,14752,16437,34113,34670,137945,126292,30619,51675,32860,7407,3506
"32","Lincolnshire",646645,34140,23035,16051,42720,8023,15785,14191,31584,34166,135453,132807,36914,65443,43000,8961,4372
"33","Norfolk",796728,41287,27130,18689,47980,9390,18507,17538,41051,45117,162326,162447,45655,82823,56809,13252,6727
"34","Northamptonshire",629676,38731,24566,17466,44103,8440,16158,14619,34351,40089,147224,125653,28950,47090,31731,7003,3502
"35","Northumberland",307190,15803,10498,7765,19844,3995,7990,6605,14220,15774,66535,66886,17237,29432,18722,3972,1912
"36","North Yorkshire",569660,29921,20190,14308,37967,7142,15343,11717,24990,29881,123246,119427,32083,53896,35909,8931,4709
"37","Nottinghamshire",748510,41191,27452,19662,49818,9357,18407,15664,37870,43599,170797,152764,38850,65694,43465,9343,4577
"38","Oxfordshire",605488,35828,22117,15428,37701,7217,14488,17117,43620,41476,142029,113118,27449,45691,30932,7501,3776
"39","Shropshire",283173,15208,9885,6918,18317,3682,7481,6658,12907,15465,60010,59294,16154,27100,17883,4100,2111
"40","Somerset",498093,27193,17604,12300,33216,6712,13078,10678,22048,25490,103490,102573,27031,49031,34895,8447,4307
"41","Staffordshire",806744,44846,28750,20865,53979,10561,20720,18865,41426,46950,179955,170103,43703,69525,42913,9143,4440
"42","Suffolk",668553,38490,24680,17079,44066,8223,16486,14096,33521,38962,142187,132912,35180,62728,44286,10505,5152
"43","Surrey",1059015,62849,39121,26477,65252,12547,24618,22647,56394,64191,247098,214256,51400,88022,60247,15715,8181
"44","Warwickshire",505860,28597,18288,12564,32789,6211,12349,10766,26735,30073,113874,105256,26492,43541,28726,6505,3094
"45","West Sussex",753614,42351,26913,18865,47184,8808,17817,15386,35454,40103,160919,148423,38566,74026,55665,14961,8173
"46","Wiltshire",432973,26568,16867,11540,28283,5378,10394,9035,20928,25151,99928,85892,21770,37026,25176,5978,3059
"47","Worcestershire",542107,30328,19562,13667,35183,6918,13524,11521,27293,31111,119697,115618,28561,46843,31451,7306,3524
