"Zone Code","Zone Name","ks0050001","ks0050002","ks0050003","ks0050004","ks0050005","ks0050006","ks0050007","ks0050008"
"09","Bedfordshire",381572,336738,7403,4801,1928,3963,6817,19922
"11","Buckinghamshire",479026,411134,10176,7864,2389,4456,8771,34236
"12","Cambridgeshire",552658,482869,11447,6774,2948,3548,11830,33242
"13","Cheshire",673788,614800,11767,19094,3305,4252,6437,14133
"15","Cornwall and Isles of Scilly",501267,468051,6511,7855,1597,1724,4559,10970
"16","Cumbria",487607,454137,16628,3471,2289,1357,2970,6755
"17","Derbyshire",734585,701249,8530,5437,1869,2707,4411,10382
"18","Devon",704493,650481,9542,13013,2193,2783,7888,18593
"19","Dorset",390980,356715,6580,7132,1595,1890,5654,11414
"1B","Inner London",2766114,1735711,50563,30027,17362,65745,124527,742179
"1C","Outer London",4405977,3275258,58119,41935,20212,91540,95236,823677
"20","Durham",493470,472647,7314,2250,1215,768,3139,6137
"21","East Sussex",492324,446820,7377,5751,1860,3484,7628,19404
"22","Essex",1310835,1211937,17611,11599,4382,9429,14973,40904
"23","Gloucestershire",564559,503962,8876,19303,2554,3441,6822,19601
"24","Hampshire",1240103,1112963,27671,20696,6177,6981,19192,46423
"26","Hertfordshire",1033977,907587,18450,12591,4564,13391,17371,60023
"29","Kent",1329718,1214427,19131,13883,5405,8574,18248,50050
"2A","Greater Manchester",2482328,2237127,32088,19903,13283,31362,20277,128288
"2B","Merseyside",1362026,1282036,13069,15951,5995,9259,8312,27404
"2C","South Yorkshire",1266338,1188973,15066,8148,3015,4475,7972,38689
"2D","Tyne and Wear",1075938,1011834,18191,4523,3330,2511,7770,27779
"2E","West Midlands",2555592,2199714,23122,26861,11813,39540,17596,236946
"2F","West Yorkshire",2079211,1878596,28497,12034,7948,13330,16610,122196
"30","Lancashire",1134974,1043923,21980,9482,6801,6796,8828,37164
"31","Leicestershire",609578,559756,8945,6596,2008,3016,5320,23937
"32","Lincolnshire",646645,600459,12403,6552,2895,3081,7842,13413
"33","Norfolk",796728,741536,12001,7032,2567,3174,8620,21798
"34","Northamptonshire",629676,557356,21520,7544,3595,6298,7142,26221
"35","Northumberland",307190,286565,11435,1606,908,610,1910,4156
"36","North Yorkshire",569660,523365,15115,5518,2661,1901,7075,14025
"37","Nottinghamshire",748510,701592,11374,6552,2451,3441,6137,16963
"38","Oxfordshire",605488,516679,13772,12226,3544,5540,14180,39547
"39","Shropshire",283173,250963,3852,18120,1109,1113,2629,5387
"40","Somerset",498093,458454,7077,11062,1867,2018,5294,12321
"41","Staffordshire",806744,760930,9827,9872,2658,3602,5205,14650
"42","Suffolk",668553,609264,10235,6130,2284,3173,7658,29809
"43","Surrey",1059015,903737,21370,16078,5215,10935,25481,76199
"44","Warwickshire",505860,456595,9742,8559,2364,4732,5628,18240
"45","West Sussex",753614,677402,12840,9303,2873,5391,11472,34333
"46","Wiltshire",432973,384393,9037,10460,2883,2244,9096,14860
"47","Worcestershire",542107,501125,6319,11512,1888,3306,4885,13072
