"Zone Code","Zone Name","ks09a0001","ks09a0002","ks09a0003","ks09a0004","ks09a0005","ks09a0006","ks09a0007","ks09a0008","ks09a0009","ks09a0010","ks09a0011","ks09a0014","ks09a0015"
"09","Bedfordshire",276279,33037,127478,24979,6980,6734,34192,10133,17166,8999,6581,418,1774
"11","Buckinghamshire",346945,40663,154297,38654,6900,8622,43260,12753,24622,8526,8648,346,1623
"12","Cambridgeshire",406591,48801,181284,36504,8562,9999,49193,27354,23272,12704,8918,378,2141
"13","Cheshire",489125,61231,203815,42508,12357,12119,75063,17337,29292,24165,11238,764,3250
"15","Cornwall and Isles of Scilly",359707,47799,116154,44255,11725,7050,63023,12371,25636,21782,9912,670,3463
"16","Cumbria",354183,48218,130642,34945,12154,6951,59003,9924,20072,22603,9671,1019,3913
"17","Derbyshire",531984,70551,218775,43279,17014,9512,79004,15095,33305,31669,13780,1059,5358
"18","Devon",503212,67350,172888,63393,12774,11974,87673,21095,29991,23416,12658,624,3514
"19","Dorset",275193,37236,98696,31446,5596,5545,54255,7625,16908,11026,6860,273,1481
"1B","Inner London",2096540,146851,870251,186399,116893,65769,162788,173181,149306,111811,113291,16367,37322
"1C","Outer London",3203792,309891,1389926,289010,114159,91237,357077,174842,230540,130597,116513,12921,34740
"20","Durham",362555,38898,139518,19496,13576,6678,53690,18321,22921,37426,12031,1457,4296
"21","East Sussex",340023,43803,119424,40731,8707,8072,60437,11303,23241,15782,8523,489,2717
"22","Essex",945557,117893,396702,92205,23386,20346,137931,28547,68476,37760,22311,1321,6202
"23","Gloucestershire",404699,53596,170008,39762,10414,10564,57505,13939,24043,15183,9685,575,2961
"24","Hampshire",895199,116687,406099,81420,17196,23366,124769,24538,55594,27326,18204,753,3799
"26","Hertfordshire",746008,89495,338331,73471,15905,19061,94569,26832,48713,22573,17058,786,3858
"29","Kent",947830,117796,382965,88705,26582,22260,139198,35943,68147,41313,24921,1921,7989
"2A","Greater Manchester",1781882,201208,717618,118533,62747,46935,232635,90976,108589,139705,62936,6102,18824
"2B","Merseyside",979238,111673,340374,52080,48450,25464,143911,54516,65655,98349,38766,6731,18316
"2C","South Yorkshire",916052,117715,340156,56035,37548,21687,131558,47022,62409,70907,31015,4462,12595
"2D","Tyne and Wear",785307,90103,293045,36783,37057,20716,115920,42259,50340,72270,26814,4473,13514
"2E","West Midlands",1807918,200766,697365,103320,87734,48148,244619,103443,131293,114950,76280,11060,30538
"2F","West Yorkshire",1489740,184122,593596,100961,54093,41855,198408,80345,94348,89943,52069,5655,16516
"30","Lancashire",814434,99735,318853,66682,23765,22400,122508,36732,44916,55161,23682,1750,6510
"31","Leicestershire",446503,58363,195119,39788,10513,12268,62112,21197,22980,14972,9191,559,2628
"32","Lincolnshire",466343,60046,181221,41747,13572,9569,77830,14799,30397,25719,11443,836,3690
"33","Norfolk",575464,75987,218045,54393,17075,12071,97340,19070,37932,28540,15011,989,5135
"34","Northamptonshire",454134,56931,210900,36916,12728,11269,54430,14799,26409,18483,11269,806,3002
"35","Northumberland",224679,27510,86912,18223,8535,4025,36483,7343,13446,15906,6296,734,2777
"36","North Yorkshire",410583,54577,161901,50138,9730,8597,64801,12264,23506,16512,8557,442,2846
"37","Nottinghamshire",543645,70514,219686,40739,18049,11257,82666,18885,34320,32462,15067,1376,5527
"38","Oxfordshire",444988,53321,200640,41573,8109,13167,50598,31765,24858,11235,9722,433,1780
"39","Shropshire",205069,27217,80553,24124,5031,3906,31419,6466,12204,9229,4920,287,1509
"40","Somerset",353419,48778,136022,39176,8680,7384,57711,10455,21635,15323,8255,430,2294
"41","Staffordshire",591247,76082,249012,49795,16333,14173,85231,20759,33854,30748,15260,979,4552
"42","Suffolk",476072,65539,194884,44327,12721,10006,73190,12335,31780,19266,12024,685,3669
"43","Surrey",768626,88870,341217,84409,13322,19817,101053,30631,53122,18661,17524,607,2797
"44","Warwickshire",369086,46967,162680,32256,9292,8503,51186,13823,20715,15469,8195,486,2443
"45","West Sussex",530694,69061,221541,54200,10260,13348,84360,15140,33296,18017,11471,424,2501
"46","Wiltshire",310124,40630,138778,31888,6111,6458,42650,7988,19505,9556,6560,226,1315
"47","Worcestershire",394168,52552,169154,37281,10300,9245,55421,12432,22160,15954,9669,546,2607
