"09","Bedfordshire",296033,162804,31089,59280,2850,5349,15233,19428
"11","Buckinghamshire",370622,213026,33939,73158,3245,5748,17298,24208
"12","Cambridgeshire",425871,234195,46171,85831,3257,7047,21032,28338
"13","Cheshire",532356,298766,48792,103722,3075,7825,29057,41119
"15","Cornwall and Isles of Scilly",400482,218370,38704,72433,2287,6566,27061,35061
"16","Cumbria",387729,213266,34029,76067,2232,5996,22413,33726
"17","Derbyshire",582029,324760,60586,106135,2836,9692,30988,47032
"18","Devon",557983,308445,53316,102095,3438,9064,33447,48178
"19","Dorset",311986,183348,26495,49510,1882,4816,17544,28391
"1B","Inner London",2180508,648885,262480,882272,63171,63616,142268,117816
"1C","Outer London",3451983,1598517,317203,977289,53079,73422,191539,240934
"20","Durham",387556,206401,35497,79331,2070,7143,23758,33356
"21","East Sussex",387913,208236,36875,71803,2642,7192,24948,36217
"22","Essex",1032762,570596,100926,201328,5658,17616,57312,79326
"23","Gloucestershire",443577,240900,44760,87887,2815,7289,25337,34589
"24","Hampshire",966839,553339,92508,177556,5437,15891,53064,69044
"26","Hertfordshire",805635,435089,81987,170395,5705,13840,42801,55818
"29","Kent",1033162,557241,106466,203430,7046,19451,58299,81229
"2A","Greater Manchester",1917588,907602,195211,476180,17076,43028,122614,155877
"2B","Merseyside",1056647,484806,81876,291166,7857,24239,72968,93735
"2C","South Yorkshire",994490,510268,102474,217589,7026,16546,58643,81944
"2D","Tyne and Wear",849361,406388,78594,209935,6346,18226,55035,74837
"2E","West Midlands",1958965,954694,167463,497882,23318,41486,109650,164472
"2F","West Yorkshire",1608928,801110,168606,368836,18180,32192,96569,123435
"30","Lancashire",880179,465737,82640,183723,6506,16641,53901,71031
"31","Leicestershire",477048,274254,47546,89004,2790,7800,22168,33486
"32","Lincolnshire",511441,293190,50613,88307,2698,7942,27573,41118
"33","Norfolk",636125,352000,66043,115037,3894,10067,36936,52148
"34","Northamptonshire",487412,262224,53626,97093,3192,10323,27693,33261
"35","Northumberland",244238,138226,20577,45597,1216,4694,13279,20649
"36","North Yorkshire",445021,258500,39759,77625,2596,7286,23643,35612
"37","Nottinghamshire",590970,326182,60308,112615,2970,10365,32819,45711
"38","Oxfordshire",465230,249400,46338,104411,3291,6860,24126,30804
"39","Shropshire",221746,125988,20718,41275,1227,2984,11938,17616
"40","Somerset",390853,218488,38713,68995,2566,6570,23286,32235
"41","Staffordshire",634806,363599,60281,118589,3009,9886,32292,47150
"42","Suffolk",524580,295034,51590,96503,3152,8895,28505,40901
"43","Surrey",828959,457084,79477,169959,6981,13281,42186,59991
"44","Warwickshire",401503,222611,38640,79727,2249,6386,21534,30356
"45","West Sussex",594897,327146,56207,111717,4344,10361,34417,50705
"46","Wiltshire",333246,194386,30979,58750,1685,5354,18251,23841
"47","Worcestershire",428068,239778,44044,80236,2278,6760,23713,31259
