"Zone Code","Zone Name","ks0040001","ks0040002","ks0040003","ks0040004","ks0040005","ks0040006","ks0040007"
"09","Bedfordshire",300695,81140,142445,24313,7299,23865,21633
"11","Buckinghamshire",378892,99916,188167,29416,7806,26527,27060
"12","Cambridgeshire",445355,130582,203718,35751,9874,33720,31710
"13","Cheshire",541013,138392,260419,43222,10181,42638,46161
"15","Cornwall and Isles of Scilly",408664,97743,179539,42692,8467,40381,39842
"16","Cumbria",395676,100880,186574,30827,7479,32454,37462
"17","Derbyshire",590323,146551,278649,50684,12790,48609,53040
"18","Devon",577039,144083,257729,56635,12014,51360,55218
"19","Dorset",321132,69471,152863,33570,6458,26880,31890
"1B","Inner London",2227300,1127585,648361,75205,77143,173412,125594
"1C","Outer London",3496555,1232347,1490320,172324,90603,250314,260647
"20","Durham",399052,108647,180646,29500,8858,34276,37125
"21","East Sussex",399424,98174,173105,39597,9423,36924,42201
"22","Essex",1049051,273992,491913,86996,23114,85748,87288
"23","Gloucestershire",453105,121922,206376,38693,9561,38094,38459
"24","Hampshire",990515,248030,469147,92259,21792,81196,78091
"26","Hertfordshire",819356,233143,386343,56715,18038,63108,62009
"29","Kent",1058075,282202,477064,91622,26120,89249,91818
"2A","Greater Manchester",1955135,630096,802485,128809,52507,169319,171919
"2B","Merseyside",1080738,361474,439112,56746,28278,92115,103013
"2C","South Yorkshire",1011834,293864,446980,73635,20766,85406,91183
"2D","Tyne and Wear",866263,271968,363668,52597,21999,73949,82082
"2E","West Midlands",1994193,633269,873134,110660,50424,148248,178458
"2F","West Yorkshire",1637072,491293,702604,124053,40511,140644,137967
"30","Lancashire",902962,246682,399442,76827,20952,78120,80939
"31","Leicestershire",490276,128261,238530,39980,10552,35538,37415
"32","Lincolnshire",522676,123231,244727,52960,10745,43969,47044
"33","Norfolk",652252,163267,296246,62262,13592,57555,59330
"34","Northamptonshire",496370,135402,222733,44123,13810,42873,37429
"35","Northumberland",249285,60011,120404,20005,6003,19702,23160
"36","North Yorkshire",460132,109772,221597,41604,9705,36602,40852
"37","Nottinghamshire",601030,155165,280185,50823,13198,49870,51789
"38","Oxfordshire",487197,154054,217819,36190,9170,36181,33783
"39","Shropshire",229163,59062,109364,18610,3941,18247,19939
"40","Somerset",401068,97322,183587,38944,8644,35913,36658
"41","Staffordshire",647743,163033,314006,54401,13071,49892,53340
"42","Suffolk",536015,133813,251289,48789,11961,44134,46029
"43","Surrey",852769,238028,402341,64441,18010,62790,67159
"44","Warwickshire",407411,107077,191923,33855,8289,32532,33735
"45","West Sussex",609493,152834,276748,56737,13710,51121,58343
"46","Wiltshire",344337,84616,165198,31862,7573,28141,26947
"47","Worcestershire",436449,111233,205541,38085,9140,37025,35425
