"09","Bedfordshire",381572,276687,671,3471,596,5478,3172,880,61691,28926
"11","Buckinghamshire",479026,347727,1120,2967,1571,17333,1657,1226,72411,33014
"12","Cambridgeshire",552658,394148,2006,2202,1512,4624,691,1662,100345,45468
"13","Cheshire",673788,542413,1091,1010,798,2433,333,1033,79754,44923
"15","Cornwall and Isles of Scilly",501267,372540,945,240,435,672,105,2320,83694,40316
"16","Cumbria",487607,400578,810,222,183,747,46,762,50557,33702
"17","Derbyshire",734585,565568,900,880,322,1267,1748,1428,107581,54891
"18","Devon",704493,527209,1694,337,652,1496,175,2808,114498,55624
"19","Dorset",390980,304500,896,257,558,825,74,1244,53727,28899
"1B","Inner London",2766114,1509556,27599,52473,49199,322691,14194,12152,507310,270940
"1C","Outer London",4405977,2666619,26698,239504,100590,284392,90036,24406,623306,350426
"20","Durham",493470,412132,606,404,166,1069,457,862,45970,31804
"21","East Sussex",492324,362420,1289,807,1021,2984,149,2457,81185,40012
"22","Essex",1310835,971558,2661,5034,6209,7601,1325,3488,215861,97098
"23","Gloucestershire",564559,428651,1040,1562,520,3495,376,1798,84515,42602
"24","Hampshire",1240103,944801,2241,3110,1316,4316,1681,4036,192888,85714
"26","Hertfordshire",1033977,725995,2642,10654,16880,17089,4018,3293,176537,76869
"29","Kent",1329718,999024,2981,4941,1683,6545,8154,4266,198365,103759
"2A","Greater Manchester",2482328,1840599,5156,17260,21733,125219,3720,4301,281273,183067
"2B","Merseyside",1362026,1122356,2298,2508,3803,8344,774,1584,118116,102243
"2C","South Yorkshire",1266338,954019,1587,2560,933,31851,1943,2425,173213,97807
"2D","Tyne and Wear",1075938,840458,1454,2729,2636,15425,2748,1646,129425,79417
"2E","West Midlands",2555592,1701519,5817,49484,3310,191559,91890,5381,305365,201267
"2F","West Yorkshire",2079211,1415492,3173,10857,9052,149681,15548,4301,305380,165727
"30","Lancashire",1134974,889021,1696,5147,942,38967,1129,2039,118290,77743
"31","Leicestershire",609578,452347,904,12329,614,4937,4971,1287,92810,39379
"32","Lincolnshire",646645,519389,823,839,401,1538,427,1311,76793,45124
"33","Norfolk",796728,589695,1558,969,865,2059,326,2385,133800,65071
"34","Northamptonshire",629676,450274,1487,5648,698,5662,1803,1684,113259,49161
"35","Northumberland",307190,249029,352,258,129,663,385,596,36156,19622
"36","North Yorkshire",569660,457432,918,620,576,1051,107,1070,68156,39730
"37","Nottinghamshire",748510,559689,1159,2162,808,3516,2308,1465,119562,57841
"38","Oxfordshire",605488,439123,2006,1845,1990,7971,811,1878,105696,44168
"39","Shropshire",283173,226351,447,192,117,589,153,630,34650,20044
"40","Somerset",498093,381842,1025,420,349,938,95,1889,73945,37590
"41","Staffordshire",806744,645869,850,1523,407,6081,1841,1389,94693,54091
"42","Suffolk",668553,494608,1155,922,654,2659,415,1865,111163,55112
"43","Surrey",1059015,789609,3362,7458,3229,14190,1967,3281,161074,74845
"44","Warwickshire",505860,387446,861,3559,461,3342,6797,1100,66442,35852
"45","West Sussex",753614,561087,1753,4623,1423,7603,1061,3113,117551,55400
"46","Wiltshire",432973,331758,898,392,333,1177,235,1463,65104,31613
"47","Worcestershire",542107,426467,764,736,405,4751,732,1147,68538,38567
